hex_id,hex_land_km2,great_britain_km2,ireland_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000803_r+001460,19.405649034217834,19.405649034217834,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001461,19.379515809928893,19.379515809928893,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001462,19.35340970036316,19.35340970036316,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001463,19.327330701416017,19.327330701416017,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001464,19.301278809135436,19.301278809135436,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001465,19.275254019382476,19.275254019382476,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001466,19.24925632795334,19.24925632795334,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001467,19.22328573043823,19.22328573043823,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001468,19.19734222264099,19.19734222264099,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001469,19.171425799865723,19.171425799865723,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001470,19.145536457813265,19.145536457813265,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
